,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xix,Семантическая когорта
1017,красно-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.21233442161802227,цвет
1019,красновато-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.1592508162135167,цвет
1024,красный,прилагательное,1,0,1,0,0,0,0,0,199.54127271553642,цвет
1029,красочный,прилагательное,0,0,1,1,0,0,1,яркий,0.1725217175646431,яркость
1039,кривой,прилагательное,1,0,1,0,0,0,0,0,6.95395230799023,форма
1040,кроваво-красный,прилагательное,1,0,1,0,0,0,1,0,0.3317725337781598,цвет
1045,крохотный,прилагательное,1,0,1,0,0,0,0,0,3.9679995039867912,размер
1048,крошечный,прилагательное,1,0,1,0,0,0,0,0,19.335703268591153,размер
1049,круг,существительное,1,0,1,0,0,0,0,0,115.56300896560862,форма
1052,круглый,прилагательное,1,0,1,0,0,0,0,0,59.3872835462906,форма
1054,крючковатый,прилагательное,1,0,1,0,0,0,0,0,1.0749430094412378,форма
1055,кумачный,прилагательное,1,0,1,0,0,0,0,0,0.9555048972811002,цвет
1056,кумачовый,прилагательное,1,0,1,0,0,0,0,0,0.42466884323604454,цвет
1059,лазоревый,прилагательное,1,0,1,0,0,0,0,0,1.9375515972644535,цвет
1060,лазуревый,прилагательное,1,0,1,0,0,0,0,0,0.10616721080901113,цвет
1063,лазурный,прилагательное,1,0,1,0,0,0,0,0,1.6986753729441781,цвет
1064,лакомый,прилагательное,1,0,0,1,0,0,1,0,5.374715047206188,вкусный
1073,леденящий,прилагательное,1,1,0,0,0,0,1,0,0.9555048972811002,температура
1074,ледышка,существительное,1,1,0,0,0,0,0,0,0.09289630945788474,температура
1075,ледяной,прилагательное,1,1,0,0,0,0,0,0,16.084332437565187,температура
1077,лилейный,прилагательное,1,0,1,0,0,0,0,0,0.4512106459382973,цвет
1078,лиловатый,прилагательное,1,0,1,0,0,0,0,0,0.2786889283736542,цвет
1079,лиловый,прилагательное,1,0,1,0,0,0,0,0,5.188922428290419,цвет
1082,лимонный,прилагательное,0,0,1,1,0,0,0,0,3.1452036202169547,цвет
1083,ломкий,прилагательное,1,1,0,0,0,0,0,0,0.4644815472894237,осязание
1104,малахитовый,прилагательное,1,0,1,0,0,0,1,0,0.5308360540450556,цвет
1105,маленький,прилагательное,1,0,1,0,0,0,0,0,453.0287594234016,размер
1106,маленький-маленький,прилагательное,1,0,1,0,0,0,0,0,0.5839196594495613,размер
1115,малиновый,прилагательное,1,0,1,0,0,0,1,0,7.1662867296082515,цвет
1128,малосольный,прилагательное,1,0,0,1,0,0,0,0,0.25214712567140146,вкусный
1131,малый,прилагательное,1,0,1,0,0,0,0,0,311.5211383163409,размер
1132,малюсенький,прилагательное,1,0,1,0,0,0,0,0,0.4379397445871709,размер
1136,масленый,прилагательное,1,1,0,0,0,0,0,0,2.508200355362888,осязание
1137,маслянистый,прилагательное,1,1,0,0,0,0,0,0,1.526153655379535,осязание
1141,матово-белый,прилагательное,1,0,1,0,0,0,0,0,0.1725217175646431,цвет
1145,матовый,прилагательное,0,1,1,0,0,0,0,0,8.214687936347236,яркость
1149,махонький,прилагательное,1,0,1,0,0,0,0,0,3.875103194528907,размер
1156,мгла,существительное,1,0,1,0,0,0,0,0,8.135062528240478,свет
1158,мглистый,прилагательное,1,0,1,0,0,0,0,0,0.6635450675563196,свет
1161,медно-красный,прилагательное,1,0,1,0,0,0,0,0,0.3450434351292862,цвет
1163,медовый,прилагательное,1,0,1,0,0,0,1,0,4.6315445715431105,вкусный
1165,мелкий,прилагательное,1,0,1,0,0,0,0,0,134.64656510852836,размер
1166,меловой,прилагательное,1,0,1,0,0,0,1,0,2.8001601850876687,цвет
1168,мелодичность,существительное,1,0,0,0,1,0,0,0,0.23887622432027505,музыка
1169,мелодичный,прилагательное,1,0,0,0,1,0,0,0,1.2076520229525016,музыка
1170,мелодия,существительное,1,0,0,0,1,0,0,0,8.307584245805122,музыка
1180,мертвенно-бледный,прилагательное,1,0,1,0,0,0,1,0,0.37158523783153896,цвет
