,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
1006,коротко,наречие,0,0,1,0,1,0,0,0,122.0,1810.0,2414.0,5401.0,размер
1008,коротковатый,прилагательное,0,0,1,0,1,0,0,0,0.0,5.0,14.0,184.0,размер
1011,корявый,прилагательное,1,0,1,0,0,0,0,0,3.0,216.0,811.0,1276.0,форма
1013,красненький,прилагательное,1,0,1,0,0,0,0,0,6.0,255.0,271.0,285.0,цвет
1014,краснехонький,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,1.0,1.0,цвет
1015,красно-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,6.0,31.0,215.0,цвет
1016,красно-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.0,3.0,11.0,39.0,цвет
1017,красно-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,1.0,16.0,9.0,26.0,цвет
1019,красновато-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,12.0,9.0,43.0,цвет
1020,красновато-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,1.0,9.0,цвет
1021,красновато-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,2.0,4.0,цвет
1022,красновато-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,3.0,8.0,6.0,цвет
1023,красновато-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,0.0,2.0,цвет
1024,красный,прилагательное,1,0,1,0,0,0,0,0,980.0,15036.0,40280.0,48945.0,цвет
1026,красный-прекрасный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,0.0,9.0,цвет
1027,красочно,наречие,0,0,1,1,0,0,1,светлый,0.0,0.0,139.0,375.0,яркость
1028,красочность,существительное,0,0,1,1,0,0,1,0,0.0,0.0,88.0,114.0,яркость
1029,красочный,прилагательное,0,0,1,1,0,0,1,яркий,8.0,13.0,672.0,1512.0,яркость
1032,кремово-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,6.0,цвет
1034,кремово-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,4.0,цвет
1035,кремовый,прилагательное,1,0,1,0,0,0,1,0,0.0,1.0,139.0,457.0,цвет
1039,кривой,прилагательное,1,0,1,0,0,0,0,0,124.0,524.0,1310.0,1937.0,форма
1040,кроваво-красный,прилагательное,1,0,1,0,0,0,1,0,0.0,25.0,101.0,171.0,цвет
1041,кропкий,прилагательное,1,1,0,0,0,0,0,0,6.0,0.0,0.0,0.0,осязание
1042,крохкий,прилагательное,1,1,0,0,0,0,0,0,0.0,0.0,1.0,3.0,осязание
1044,крохотность,существительное,1,0,1,0,0,0,0,0,0.0,2.0,1.0,7.0,размер
1045,крохотный,прилагательное,1,0,1,0,0,0,0,0,0.0,299.0,1342.0,4309.0,размер
1047,крошечность,существительное,1,0,1,0,0,0,0,0,0.0,0.0,2.0,9.0,размер
1048,крошечный,прилагательное,1,0,1,0,0,0,0,0,2.0,1457.0,1898.0,3986.0,размер
1049,круг,существительное,1,0,1,0,0,0,0,0,604.0,8708.0,15223.0,27239.0,форма
1052,круглый,прилагательное,1,0,1,0,0,0,0,0,316.0,4475.0,8378.0,13427.0,форма
1054,крючковатый,прилагательное,1,0,1,0,0,0,0,0,1.0,81.0,179.0,178.0,форма
1055,кумачный,прилагательное,1,0,1,0,0,0,0,0,2.0,72.0,51.0,7.0,цвет
1056,кумачовый,прилагательное,1,0,1,0,0,0,0,0,0.0,32.0,132.0,190.0,цвет
1059,лазоревый,прилагательное,1,0,1,0,0,0,0,0,35.0,146.0,187.0,163.0,цвет
1060,лазуревый,прилагательное,1,0,1,0,0,0,0,0,0.0,8.0,4.0,1.0,цвет
1061,лазурно-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,2.0,6.0,цвет
1062,лазурно-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,3.0,1.0,цвет
1063,лазурный,прилагательное,1,0,1,0,0,0,0,0,1.0,128.0,356.0,481.0,цвет
1064,лакомый,прилагательное,1,0,0,1,0,0,1,0,27.0,405.0,229.0,475.0,вкусный
1073,леденящий,прилагательное,1,1,0,0,0,0,1,0,0.0,72.0,179.0,420.0,температура
1074,ледышка,существительное,1,1,0,0,0,0,0,0,0.0,7.0,30.0,131.0,температура
1075,ледяной,прилагательное,1,1,0,0,0,0,0,0,34.0,1212.0,3497.0,6346.0,температура
1077,лилейный,прилагательное,1,0,1,0,0,0,0,0,5.0,34.0,21.0,54.0,цвет
1078,лиловатый,прилагательное,1,0,1,0,0,0,0,0,0.0,21.0,133.0,107.0,цвет
1079,лиловый,прилагательное,1,0,1,0,0,0,0,0,10.0,391.0,1420.0,1821.0,цвет
1082,лимонный,прилагательное,0,0,1,1,0,0,0,0,17.0,237.0,262.0,1072.0,цвет
1083,ломкий,прилагательное,1,1,0,0,0,0,0,0,5.0,35.0,179.0,510.0,осязание
1084,ломко,наречие,1,1,0,0,0,0,0,0,2.0,2.0,8.0,27.0,осязание
1089,лунно-белый,прилагательное,1,0,1,0,0,0,1,0,0.0,0.0,2.0,3.0,цвет
1104,малахитовый,прилагательное,1,0,1,0,0,0,1,0,0.0,40.0,177.0,231.0,цвет
1105,маленький,прилагательное,1,0,1,0,0,0,0,0,2064.0,34137.0,53201.0,99392.0,размер
1106,маленький-маленький,прилагательное,1,0,1,0,0,0,0,0,0.0,44.0,81.0,112.0,размер
1107,маленький-премаленький,прилагательное,1,0,1,0,0,0,0,0,0.0,4.0,2.0,6.0,размер
1108,маленькость,существительное,1,0,1,0,0,0,0,0,0.0,0.0,2.0,0.0,размер
1113,малиново-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,8.0,23.0,цвет
1114,малиново-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,0.0,5.0,цвет
1115,малиновый,прилагательное,1,0,1,0,0,0,1,0,23.0,540.0,1336.0,1617.0,цвет
1116,малипусенький,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,размер
1122,малогабаритность,существительное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,4.0,размер
1123,малогабаритный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,4.0,314.0,размер
1128,малосольный,прилагательное,1,0,0,1,0,0,0,0,0.0,19.0,30.0,181.0,вкусный
1129,малосъедобный,прилагательное,1,0,0,1,0,0,0,0,0.0,0.0,3.0,14.0,вкусный
1131,малый,прилагательное,1,0,1,0,0,0,0,0,4157.0,23474.0,19878.0,37717.0,размер
1132,малюсенький,прилагательное,1,0,1,0,0,0,0,0,0.0,33.0,215.0,528.0,размер
1134,мареновый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,1.0,3.0,цвет
1135,масенький,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,10.0,размер
1136,масленый,прилагательное,1,1,0,0,0,0,0,0,18.0,189.0,267.0,149.0,осязание
1137,маслянистый,прилагательное,1,1,0,0,0,0,0,0,0.0,115.0,182.0,456.0,осязание
1141,матово-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,13.0,24.0,26.0,цвет
1142,матово-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,3.0,2.0,цвет
1143,матово-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,4.0,8.0,цвет
1145,матовый,прилагательное,0,1,1,0,0,0,0,0,0.0,619.0,920.0,1143.0,яркость
1149,махонький,прилагательное,1,0,1,0,0,0,0,0,0.0,292.0,157.0,242.0,размер
1152,махотный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,размер
1156,мгла,существительное,1,0,1,0,0,0,0,0,36.0,613.0,1812.0,1791.0,свет
1158,мглистый,прилагательное,1,0,1,0,0,0,0,0,1.0,50.0,238.0,260.0,свет
1161,медно-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,26.0,86.0,33.0,цвет
1162,медноцветный,прилагательное,1,0,1,0,0,0,0,0,0.0,4.0,0.0,2.0,цвет
1163,медовый,прилагательное,1,0,1,0,0,0,1,0,10.0,349.0,504.0,935.0,вкусный
1165,мелкий,прилагательное,1,0,1,0,0,0,0,0,513.0,10146.0,14792.0,22697.0,размер
1166,меловой,прилагательное,1,0,1,0,0,0,1,0,21.0,211.0,312.0,524.0,цвет
1167,мелодизм,существительное,1,0,0,0,1,0,0,0,0.0,0.0,1.0,18.0,музыка
1168,мелодичность,существительное,1,0,0,0,1,0,0,0,0.0,18.0,23.0,35.0,музыка
1169,мелодичный,прилагательное,1,0,0,0,1,0,0,0,0.0,91.0,250.0,445.0,музыка
1170,мелодия,существительное,1,0,0,0,1,0,0,0,20.0,626.0,1225.0,4390.0,музыка
1180,мертвенно-бледный,прилагательное,1,0,1,0,0,0,1,0,0.0,28.0,97.0,53.0,цвет
1182,мертвенно-серый,прилагательное,1,0,1,0,0,0,1,0,0.0,0.0,3.0,4.0,цвет
1184,миниатюрный,прилагательное,1,0,1,0,0,0,0,0,7.0,387.0,362.0,1565.0,размер
1185,многоголосие,существительное,1,0,0,0,1,0,0,0,0.0,0.0,10.0,152.0,музыка
1191,многоугольный,прилагательное,1,0,1,0,0,0,0,0,5.0,16.0,19.0,43.0,форма
1192,модуляция,существительное,1,0,0,0,1,0,0,0,0.0,15.0,111.0,266.0,музыка
1193,моклый,прилагательное,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,атмосфера
1194,мокренек,прилагательное,1,1,0,0,0,0,0,0,0.0,19.0,5.0,5.0,атмосфера
1195,мокренький,прилагательное,1,1,0,0,0,0,0,0,0.0,3.0,19.0,18.0,атмосфера
